#plate_id	well_id	chemical	category	moa	co_id	replica	activity	min	max	height	plateau	slope	lag	area	source
PM01	A01	Negative Control	carbon	C-Source, negative control		2	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DuctApe
PM01	A02	L-Arabinose	carbon	C-Source, carbohydrate	C00259	2	8	0.1	177.5790779743449	83.75143483282326	184.98935979657486	19.22063945076998	6.428487783385018	1841.2595402835245	DuctApe
PM01	A03	N-Acetyl-D-Glucosamine	carbon	C-Source, carbohydrate	C00140	2	2	0.10000000000000002	61.20085611710276	15.253860953047663	60.5780952171045	53.54509022805508	13.0	331.73579919067265	DuctApe
PM01	A04	D-Saccharic acid	carbon	C-Source, carboxylic acid	C00818	2	1	0.10000000000000002	20.682123502449297	2.288140950728362	20.682123502449297	19.392729801177875	17.75	48.3133707158999	DuctApe
PM01	A05	Succinic acid	carbon	C-Source, carboxylic acid	C00042	2	0	0.10000000000000002	3.4175667396558076	0.1973717690478658	0.0	0.0	0.0	3.9518260188580374	DuctApe
PM01	A06	D-Galactose	carbon	C-Source, carbohydrate	C00124	2	0	0.10000000000000002	12.718591750511033	1.7096628896660973	0.0	0.0	0.0	36.43767532625679	DuctApe
PM01	A07	L-Aspartic acid	carbon	C-Source, amino acid	C00049	2	0	0.1	18.937499676399568	4.205899666477534	0.0	0.0	0.0	90.62469683848208	DuctApe
PM01	A08	L-Proline	carbon	C-Source, amino acid	C00148	2	2	0.1	49.0840585713432	10.419694318893942	49.0840585713432	39.8849221356044	15.0	225.6901912739723	DuctApe
PM01	A09	D-Alanine	carbon	C-Source, amino acid	C00133	2	2	0.09858982875565601	48.19215199997366	11.853062471097184	48.19215199997366	46.07349203305222	12.5	257.6941209819157	DuctApe
PM01	A10	D-Trehalose	carbon	C-Source, carbohydrate	C01083	2	5	1.4343331082167394	103.95696282118882	29.520386504670125	103.95696282118882	91.90830521232537	12.25	642.4645934139722	DuctApe
PM01	A11	D-Mannose	carbon	C-Source, carbohydrate	C00159	2	5	0.5270543708827249	82.12166353390516	26.08114732978354	82.12166353390516	62.42100462363864	12.25	569.6573267567287	DuctApe
PM01	A12	Dulcitol	carbon	C-Source, carbohydrate	C01697	2	4	7.315179411616706	24.591591118928587	14.453494404905939	0.0	0.0	0.0	315.8497772074695	DuctApe
PM01	B01	D-Serine	carbon	C-Source, amino acid	C00740	2	0	0.11079061309122903	3.3894046504315973	1.0853842101111844	0.0	0.0	0.0	24.079232435785304	DuctApe
PM01	B02	D-Sorbitol	carbon	C-Source, carbohydrate	C00794	2	2	0.10000000000000002	46.273198573748616	10.157949901315153	46.273198573748616	45.504042436418416	13.0	220.2177354825436	DuctApe
PM01	B03	Glycerol	carbon	C-Source, carbohydrate	C00116	2	2	0.10000000000000002	44.18960788170197	6.847741225370895	44.18960788170197	39.97772375597601	16.0	146.82604127928968	DuctApe
PM01	B04	L-Fucose	carbon	C-Source, carbohydrate	C01019	2	0	0.10000000000000002	6.145065490374014	1.1190982448586042	0.0	0.0	0.0	24.11930276180719	DuctApe
PM01	B05	D-Glucuronic acid	carbon	C-Source, carboxylic acid	C00191	2	1	0.1	29.1633105591553	4.7830610937349896	29.1633105591553	28.16933531658767	15.0	102.7593330157091	DuctApe
PM01	B06	D-Gluconic acid	carbon	C-Source, carboxylic acid	C00257	2	2	0.10000000000000002	64.50383658291294	13.04433075694537	64.50383658291294	56.320140422538266	14.75	282.1608797691704	DuctApe
PM01	B07	DL-a-Glycerol Phosphate	carbon	C-Source, carbohydrate	C00093	2	3	0.10000000000000002	66.90954642785437	20.617794228342614	64.90460826542474	14.979893840182326	12.945622582455355	448.0217966278851	DuctApe
PM01	B08	D-Xylose	carbon	C-Source, carbohydrate	C00181	2	7	0.10000000000000002	156.94691495942698	68.4750281638323	164.3717955676856	17.3234285532162	7.525207402779734	1503.9385122753406	DuctApe
PM01	B09	L-Lactic acid	carbon	C-Source, carboxylic acid	C01432	2	0	0.10000000000000002	21.37137814935868	3.9017827979122393	0.0	0.0	0.0	84.1307449848775	DuctApe
PM01	B10	Formic acid	carbon	C-Source, carboxylic acid	C00058	2	0	0.35477714435442975	19.332472227290978	4.582088955362873	0.0	0.0	0.0	98.57666722468153	DuctApe
PM01	B11	D-Mannitol	carbon	C-Source, carbohydrate	C00392	2	5	0.3764689083487375	67.47688648747312	17.082464896131285	67.47688648747312	63.14103426314608	12.5	371.46678120604406	DuctApe
PM01	B12	L-Glutamic acid	carbon	C-Source, amino acid	C00025	2	3	12.709881552122742	64.46387430641732	30.00521797021739	45.032194505411674	5.258178855289626	10.58265284830557	657.5968336933315	DuctApe
PM01	C01	D-Glucose-6-Phosphate	carbon	C-Source, carbohydrate	C00092	2	0	0.10000000000000002	4.202457009771371	0.2262294297685567	0.0	0.0	0.0	4.495797686128964	DuctApe
PM01	C02	D-Galactonic acid-g-Lactone	carbon	C-Source, carboxylic acid	C03383	2	0	0.1	5.878332512494649	0.5524521179666311	0.0	0.0	0.0	11.544768060695711	DuctApe
